# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
1.634359842381510664e+00 1.177549971016050412e+00 2.496932580772768251e-01
1.641688810284566813e+00 1.178413309940751663e+00 2.497996593503266083e-01
1.649017778187622962e+00 1.179277281835702462e+00 2.499020575937082600e-01
1.656346746090678890e+00 1.180141887164974479e+00 2.500004953575565292e-01
1.663675713993735039e+00 1.181007126392980000e+00 2.500950148494978653e-01
1.671004681896791189e+00 1.181872999984471706e+00 2.501856579367071620e-01
1.678333649799847338e+00 1.182739508404542894e+00 2.502724661479587276e-01
1.685662617702903487e+00 1.183606652118628144e+00 2.503554806756718709e-01
1.692991585605959415e+00 1.184474431592502652e+00 2.504347423779500481e-01
1.700320553509015564e+00 1.185342847292283786e+00 2.505102917806146245e-01
1.707649521412071714e+00 1.186211899684430415e+00 2.505821690792323642e-01
1.714978489315127863e+00 1.187081589235743140e+00 2.506504141411368125e-01
1.722307457218184013e+00 1.187951916413365172e+00 2.507150665074440177e-01
1.729636425121239940e+00 1.188822881684782340e+00 2.507761653950615344e-01
1.736965393024296089e+00 1.189694485517822420e+00 2.508337496986914328e-01
1.744294360927352239e+00 1.190566728380657135e+00 2.508878579928269792e-01
1.751623328830408388e+00 1.191439610741800825e+00 2.509385285337432658e-01
1.758952296733464316e+00 1.192313133070111775e+00 2.509857992614802358e-01
1.766281264636520465e+00 1.193187295834791328e+00 2.510297078018212114e-01
1.773610232539576614e+00 1.194062099505385888e+00 2.510702914682628184e-01
1.780939200442632764e+00 1.194937544551784914e+00 2.511075872639795259e-01
1.788268168345688913e+00 1.195813631444223590e+00 2.511416318837816908e-01
1.795597136248744841e+00 1.196690360653280605e+00 2.511724617160656647e-01
1.802926104151800990e+00 1.197567732649880590e+00 2.512001128447585163e-01
1.810255072054857139e+00 1.198445747905293457e+00 2.512246210512551481e-01
1.817584039957913289e+00 1.199324406891133732e+00 2.512460218163490855e-01
1.824913007860969438e+00 1.200203710079362773e+00 2.512643503221553276e-01
1.832241975764025366e+00 1.201083657942287219e+00 2.512796414540280354e-01
1.839570943667081515e+00 1.201964250952560320e+00 2.512919298024692827e-01
