# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
5.703804417813996830e-01 1.256276486912657031e+00 9.459569353325312235e-01
5.726711262865458174e-01 1.257428107665148787e+00 9.477053230667196182e-01
5.749618107916920628e-01 1.258580784101139827e+00 9.494427021705258429e-01
5.772524952968381973e-01 1.259734517188368264e+00 9.511691208946235765e-01
5.795431798019844427e-01 1.260889307895459943e+00 9.528846272863202849e-01
5.818338643071305771e-01 1.262045157191928002e+00 9.545892691904328542e-01
5.841245488122768226e-01 1.263202066048175087e+00 9.562830942501636677e-01
5.864152333174229570e-01 1.264360035435492469e+00 9.579661499079679121e-01
5.887059178225690914e-01 1.265519066326062703e+00 9.596384834064227709e-01
5.909966023277153369e-01 1.266679159692958967e+00 9.613001417890861822e-01
5.932872868328614713e-01 1.267840316510146836e+00 9.629511719013579274e-01
5.955779713380077167e-01 1.269002537752484283e+00 9.645916203913317277e-01
5.978686558431538511e-01 1.270165824395723009e+00 9.662215337106471180e-01
6.001593403483000966e-01 1.271330177416509777e+00 9.678409581153375463e-01
6.024500248534462310e-01 1.272495597792385746e+00 9.694499396666691471e-01
6.047407093585924764e-01 1.273662086501788915e+00 9.710485242319852883e-01
6.070313938637386109e-01 1.274829644524053673e+00 9.726367574855374620e-01
6.093220783688847453e-01 1.275998272839412584e+00 9.742146849093206162e-01
6.116127628740309907e-01 1.277167972428996379e+00 9.757823517938984947e-01
6.139034473791771251e-01 1.278338744274835515e+00 9.773398032392295320e-01
6.161941318843233706e-01 1.279510589359860839e+00 9.788870841554879743e-01
6.184848163894695050e-01 1.280683508667903370e+00 9.804242392638780057e-01
