# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
7.971582077908720421e-02 1.172844085686185922e+00 4.281222722617480936e-01
8.017395768011643942e-02 1.173919224481335233e+00 4.300718030648689183e-01
8.063209458114567463e-02 1.174995348849454224e+00 4.320164044829022942e-01
8.109023148217490984e-02 1.176072459694011973e+00 4.339560903659564484e-01
8.154836838320414505e-02 1.177150557919304896e+00 4.358908745310678401e-01
8.200650528423338026e-02 1.178229644430458745e+00 4.378207707623156808e-01
8.246464218526261547e-02 1.179309720133428829e+00 4.397457928109343994e-01
8.292277908629186456e-02 1.180390785935001574e+00 4.416659543954255529e-01
8.338091598732109977e-02 1.181472842742793627e+00 4.435812692016677383e-01
8.383905288835033498e-02 1.182555891465254083e+00 4.454917508830298356e-01
8.429718978937957019e-02 1.183639933011665368e+00 4.473974130604817523e-01
8.475532669040880540e-02 1.184724968292142577e+00 4.492982693227032254e-01
8.521346359143804061e-02 1.185810998217635692e+00 4.511943332261958428e-01
8.567160049246727582e-02 1.186898023699929361e+00 4.530856182953917899e-01
8.612973739349651103e-02 1.187986045651644451e+00 4.549721380227639833e-01
8.658787429452574624e-02 1.189075064986238051e+00 4.568539058689340959e-01
8.704601119555499533e-02 1.190165082618004799e+00 4.587309352627825798e-01
8.750414809658423054e-02 1.191256099462077334e+00 4.606032396015556363e-01
8.796228499761346575e-02 1.192348116434427396e+00 4.624708322509748504e-01
8.842042189864270096e-02 1.193441134451866281e+00 4.643337265453441054e-01
8.887855879967193617e-02 1.194535154432045720e+00 4.661919357876560532e-01
8.933669570070117139e-02 1.195630177293458773e+00 4.680454732497012493e-01
8.979483260173040660e-02 1.196726203955440271e+00 4.698943521721720140e-01
9.025296950275964181e-02 1.197823235338167702e+00 4.717385857647712344e-01
9.071110640378887702e-02 1.198921272362662549e+00 4.735781872063172804e-01
9.116924330481812611e-02 1.200020315950790062e+00 4.754131696448491984e-01
9.162738020584736132e-02 1.201120367025261038e+00 4.772435461977332372e-01
9.208551710687659653e-02 1.202221426509631597e+00 4.790693299517664872e-01
9.254365400790583174e-02 1.203323495328304737e+00 4.808905339632823517e-01
9.300179090893506695e-02 1.204426574406531003e+00 4.827071712582545748e-01
9.345992780996430216e-02 1.205530664670409147e+00 4.845192548324019910e-01
9.391806471099353737e-02 1.206635767046886354e+00 4.863267976512902213e-01
9.437620161202277258e-02 1.207741882463760241e+00 4.881298126504375334e-01
9.483433851305200779e-02 1.208849011849678190e+00 4.899283127354151501e-01
9.529247541408125688e-02 1.209957156134139566e+00 4.917223107819524430e-01
9.575061231511049209e-02 1.211066316247495056e+00 4.935118196360367970e-01
9.620874921613972730e-02 1.212176493120949106e+00 4.952968521140189706e-01
9.666688611716896251e-02 1.213287687686559035e+00 4.970774210027109619e-01
9.712502301819819772e-02 1.214399900877236815e+00 4.988535390594898145e-01
9.758315991922743293e-02 1.215513133626749731e+00 5.006252190123983148e-01
9.804129682025666814e-02 1.216627386869721050e+00 5.023924735602455227e-01
9.849943372128590335e-02 1.217742661541630467e+00 5.041553153727066361e-01
9.895757062231513856e-02 1.218858958578815654e+00 5.059137570904242986e-01
9.941570752334438765e-02 1.219976278918472268e+00 5.076678113251070767e-01
9.987384442437362286e-02 1.221094623498655496e+00 5.094174906596310448e-01
1.003319813254028581e-01 1.222213993258279841e+00 5.111628076481357086e-01
1.007901182264320933e-01 1.223334389137121114e+00 5.129037748161261456e-01
1.012482551274613285e-01 1.224455812075816219e+00 5.146404046605699278e-01
1.017063920284905637e-01 1.225578263015864700e+00 5.163727096499961533e-01
1.021645289295197989e-01 1.226701742899628522e+00 5.181007022245917026e-01
1.026226658305490341e-01 1.227826252670334295e+00 5.198243947963013811e-01
1.030808027315782693e-01 1.228951793272072601e+00 5.215437997489233979e-01
1.035389396326075184e-01 1.230078365649799998e+00 5.232589294382078426e-01
1.039970765336367536e-01 1.231205970749338796e+00 5.249697961919518319e-01
1.044552134346659888e-01 1.232334609517378832e+00 5.266764123100976525e-01
1.049133503356952241e-01 1.233464282901477471e+00 5.283787900648282410e-01
1.053714872367244593e-01 1.234594991850060719e+00 5.300769417006625517e-01
1.058296241377536945e-01 1.235726737312423884e+00 5.317708794345518131e-01
1.062877610387829297e-01 1.236859520238732912e+00 5.334606154559753399e-01
1.067458979398121649e-01 1.237993341580024165e+00 5.351461619270333481e-01
1.072040348408414140e-01 1.239128202288206193e+00 5.368275309825446540e-01
1.076621717418706492e-01 1.240264103316060407e+00 5.385047347301394893e-01
1.081203086428998844e-01 1.241401045617240850e+00 5.401777852503532040e-01
1.085784455439291196e-01 1.242539030146276424e+00 5.418466945967214121e-01
1.090365824449583548e-01 1.243678057858570885e+00 5.435114747958724735e-01
1.094947193459875900e-01 1.244818129710403953e+00 5.451721378476224178e-01
1.099528562470168253e-01 1.245959246658931319e+00 5.468286957250654279e-01
1.104109931480460605e-01 1.247101409662186855e+00 5.484811603746685416e-01
1.108691300490752957e-01 1.248244619679082401e+00 5.501295437163638002e-01
1.113272669501045448e-01 1.249388877669408648e+00 5.517738576436407305e-01
1.117854038511337800e-01 1.250534184593836029e+00 5.534141140236362721e-01
1.122435407521630152e-01 1.251680541413916270e+00 5.550503246972300353e-01
1.127016776531922504e-01 1.252827949092081949e+00 5.566825014791318971e-01
1.131598145542214856e-01 1.253976408591647829e+00 5.583106561579751492e-01
1.136179514552507208e-01 1.255125920876812184e+00 5.599348004964074255e-01
1.140760883562799560e-01 1.256276486912657031e+00 5.615549462311807405e-01
1.145342252573091912e-01 1.257428107665149009e+00 5.631711050732418622e-01
1.149923621583384264e-01 1.258580784101139827e+00 5.647832887078215736e-01
1.154504990593676755e-01 1.259734517188368486e+00 5.663915087945268212e-01
1.159086359603969107e-01 1.260889307895459943e+00 5.679957769674262025e-01
1.163667728614261460e-01 1.262045157191928002e+00 5.695961048351441125e-01
1.168249097624553812e-01 1.263202066048175087e+00 5.711925039809462312e-01
1.172830466634846164e-01 1.264360035435492469e+00 5.727849859628280083e-01
1.177411835645138516e-01 1.265519066326062703e+00 5.743735623136064783e-01
1.181993204655430868e-01 1.266679159692958967e+00 5.759582445410045271e-01
1.186574573665723220e-01 1.267840316510146836e+00 5.775390441277418185e-01
1.191155942676015572e-01 1.269002537752484283e+00 5.791159725316203932e-01
1.195737311686308063e-01 1.270165824395723231e+00 5.806890411856134859e-01
1.200318680696600415e-01 1.271330177416509777e+00 5.822582614979515681e-01
1.204900049706892767e-01 1.272495597792385746e+00 5.838236448522109434e-01
1.209481418717185119e-01 1.273662086501788915e+00 5.853852026073985693e-01
1.214062787727477472e-01 1.274829644524053673e+00 5.869429460980392088e-01
1.218644156737769824e-01 1.275998272839412584e+00 5.884968866342622507e-01
1.223225525748062176e-01 1.277167972428996379e+00 5.900470355018864188e-01
1.227806894758354528e-01 1.278338744274835737e+00 5.915934039625068142e-01
1.232388263768646880e-01 1.279510589359860839e+00 5.931360032535789584e-01
1.236969632778939371e-01 1.280683508667903370e+00 5.946748445885042811e-01
1.241551001789231723e-01 1.281857503183697178e+00 5.962099391567169393e-01
1.246132370799524075e-01 1.283032573892878059e+00 5.977412981237657519e-01
1.250713739809816427e-01 1.284208721781985751e+00 5.992689326313999088e-01
1.255295108820108918e-01 1.285385947838464604e+00 6.007928537976539030e-01
1.259876477830401131e-01 1.286564253050663353e+00 6.023130727169301313e-01
1.264457846840693622e-01 1.287743638407837787e+00 6.038296004600837152e-01
1.269039215850985836e-01 1.288924104900149858e+00 6.053424480745054348e-01
1.273620584861278326e-01 1.290105653518669238e+00 6.068516265842056612e-01
1.278201953871570540e-01 1.291288285255373980e+00 6.083571469898955142e-01
1.282783322881863031e-01 1.292472001103152301e+00 6.098590202690732376e-01
1.287364691892155244e-01 1.293656802055801691e+00 6.113572573761023587e-01
1.291946060902447735e-01 1.294842689108030909e+00 6.128518692422979530e-01
1.296527429912740226e-01 1.296029663255460429e+00 6.143428667760055806e-01
1.301108798923032439e-01 1.297217725494623997e+00 6.158302608626862185e-01
1.305690167933324930e-01 1.298406876822968403e+00 6.173140623649957526e-01
1.310271536943617143e-01 1.299597118238854376e+00 6.187942821228659129e-01
1.314852905953909634e-01 1.300788450741559021e+00 6.202709309535885396e-01
1.319434274964201848e-01 1.301980875331274046e+00 6.217440196518925211e-01
1.324015643974494338e-01 1.303174393009109311e+00 6.232135589900285044e-01
1.328597012984786552e-01 1.304369004777091501e+00 6.246795597178458337e-01
1.333178381995079043e-01 1.305564711638166342e+00 6.261420325628761496e-01
1.337759751005371534e-01 1.306761514596198825e+00 6.276009882304107723e-01
1.342341120015663747e-01 1.307959414655973651e+00 6.290564374035810813e-01
1.346922489025956238e-01 1.309158412823197892e+00 6.305083907434410051e-01
1.351503858036248451e-01 1.310358510104498997e+00 6.319568588890416283e-01
1.356085227046540942e-01 1.311559707507428119e+00 6.334018524575144582e-01
1.360666596056833155e-01 1.312762006040460117e+00 6.348433820441492514e-01
1.365247965067125646e-01 1.313965406712994000e+00 6.362814582224711746e-01
1.369829334077417859e-01 1.315169910535353592e+00 6.377160915443209621e-01
1.374410703087710350e-01 1.316375518518790200e+00 6.391472925399342975e-01
1.378992072098002841e-01 1.317582231675480609e+00 6.405750717180168641e-01
1.383573441108295055e-01 1.318790051018530640e+00 6.419994395658252806e-01
1.388154810118587545e-01 1.319998977561974041e+00 6.434204065492428182e-01
1.392736179128879759e-01 1.321209012320774923e+00 6.448379831128585593e-01
1.397317548139172250e-01 1.322420156310826878e+00 6.462521796800427820e-01
1.401898917149464463e-01 1.323632410548955196e+00 6.476630066530254526e-01
1.406480286159756954e-01 1.324845776052917756e+00 6.490704744129737191e-01
1.411061655170049167e-01 1.326060253841404579e+00 6.504745933200661856e-01
